,Labels,Regex P,Regex R,Regex F
0,OG-1,0.99644128113879,0.9271523178807947,0.9605488850771869
1,OG-2,0.9444444444444444,0.9444444444444444,0.9444444444444444
2,OG-3,0.8305084745762712,0.8305084745762712,0.8305084745762712
3,OG-4,1.0,0.5,0.6666666666666666
4,OG-5,None,None,None
5,OG-6,0.75,0.6666666666666666,0.7058823529411765
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,0.9411764705882353,1.0,0.9696969696969697
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9821428571428571,0.944206008583691,0.9628008752735229
11,OG-12,1.0,0.825,0.9041095890410958
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,1.0,0.6428571428571429,0.782608695652174
14,OS-2A,0.7368421052631579,0.5833333333333334,0.6511627906976745
15,OS-2B,0.0,0.0,0.0
16,OS-3,0.9666666666666667,0.9456521739130435,0.956043956043956
17,OS-4,0.7586206896551724,0.88,0.8148148148148148
18,OS-5,1.0,0.9,0.9473684210526316
19,OS-6,0.9882352941176471,0.9438202247191011,0.9655172413793103
20,OS-7,0.9375,0.6382978723404256,0.759493670886076
21,OS-8,0.9411764705882353,0.7272727272727273,0.8205128205128205
22,OS-9,0.0,0.0,0.0
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,0.8333333333333334,0.9375,0.8823529411764706
28,OS-14,0.9166666666666666,1.0,0.9565217391304348
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.8,0.22641509433962265,0.35294117647058826
33,OS-18B,1.0,0.21428571428571427,0.35294117647058826
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.4444444444444444,0.6666666666666666,0.5333333333333333
36,OS-20B,0.0,0.0,0.0
37,OS-21,0.847457627118644,0.7936507936507936,0.819672131147541
38,OS-22,0.8095238095238095,1.0,0.8947368421052632
39,OS-23,1.0,0.2,0.33333333333333337
40,OS-24,0.9387755102040817,0.8846153846153846,0.9108910891089108
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9815950920245399,0.9580838323353293,0.9696969696969697
45,OS-29,1.0,1.0,1.0
46,OS-30,1.0,0.96045197740113,0.9798270893371758
47,OS-31,None,None,None
48,OS-32,0.8095238095238095,1.0,0.8947368421052632
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,1.0,0.4368932038834951,0.608108108108108
53,II,1.0,0.7538461538461538,0.8596491228070176
54,III-bis,1.0,0.5714285714285714,0.7272727272727273
55,IV,1.0,0.8717948717948718,0.9315068493150686
56,IV-bis,1.0,0.9444444444444444,0.9714285714285714
57,V,1.0,0.6153846153846154,0.761904761904762
58,VI,1.0,0.9230769230769231,0.9600000000000001
59,VII,1.0,0.5,0.6666666666666666
60,VIII,1.0,0.7142857142857143,0.8333333333333333
