,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9640287769784173,0.8874172185430463,0.9241379310344828
1,OG-2,1.0,0.9722222222222222,0.9859154929577464
2,OG-3,1.0,0.8135593220338984,0.897196261682243
3,OG-4,0.6666666666666666,1.0,0.8
4,OG-5,None,None,None
5,OG-6,0.75,0.6666666666666666,0.7058823529411765
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,1.0,0.9375,0.967741935483871
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9910313901345291,0.9484978540772532,0.9692982456140351
11,OG-12,1.0,0.8,0.888888888888889
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,0.9285714285714286,0.9285714285714286,0.9285714285714286
14,OS-2A,0.7619047619047619,0.6666666666666666,0.7111111111111111
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9565217391304348,0.9777777777777777
17,OS-4,1.0,0.88,0.9361702127659575
18,OS-5,1.0,0.9,0.9473684210526316
19,OS-6,0.9878048780487805,0.9101123595505618,0.9473684210526315
20,OS-7,0.95,0.8085106382978723,0.8735632183908046
21,OS-8,0.9333333333333333,0.6363636363636364,0.7567567567567568
22,OS-9,0.5,1.0,0.6666666666666666
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.7857142857142857,0.6470588235294118,0.7096774193548386
26,OS-12B,0.75,1.0,0.8571428571428571
27,OS-13,0.75,0.9375,0.8333333333333334
28,OS-14,0.9565217391304348,1.0,0.9777777777777777
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.72,0.33962264150943394,0.4615384615384615
33,OS-18B,0.5454545454545454,0.42857142857142855,0.4799999999999999
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.5714285714285714,0.6666666666666666,0.6153846153846153
36,OS-20B,1.0,0.2,0.33333333333333337
37,OS-21,0.864406779661017,0.8095238095238095,0.8360655737704918
38,OS-22,0.9444444444444444,1.0,0.9714285714285714
39,OS-23,1.0,0.2,0.33333333333333337
40,OS-24,1.0,0.8461538461538461,0.9166666666666666
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9585798816568047,0.9700598802395209,0.9642857142857144
45,OS-29,1.0,1.0,1.0
46,OS-30,1.0,0.9717514124293786,0.9856733524355301
47,OS-31,None,None,None
48,OS-32,1.0,1.0,1.0
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,1.0,0.49514563106796117,0.6623376623376623
53,II,0.8913043478260869,0.6307692307692307,0.7387387387387386
54,III-bis,1.0,0.5714285714285714,0.7272727272727273
55,IV,1.0,0.5897435897435898,0.7419354838709677
56,IV-bis,1.0,0.9444444444444444,0.9714285714285714
57,V,1.0,0.6923076923076923,0.8181818181818181
58,VI,0.7333333333333333,0.8461538461538461,0.7857142857142856
59,VII,1.0,0.375,0.5454545454545454
60,VIII,0.9375,0.7142857142857143,0.8108108108108109
