,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9895833333333334,0.9437086092715232,0.9661016949152543
1,OG-2,1.0,0.9722222222222222,0.9859154929577464
2,OG-3,1.0,0.8135593220338984,0.897196261682243
3,OG-4,0.6666666666666666,1.0,0.8
4,OG-5,None,None,None
5,OG-6,1.0,0.6666666666666666,0.8
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,1.0,1.0,1.0
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9653679653679653,0.9570815450643777,0.9612068965517242
11,OG-12,1.0,0.875,0.9333333333333333
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,1.0,0.9285714285714286,0.962962962962963
14,OS-2A,0.7272727272727273,0.6666666666666666,0.6956521739130435
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9782608695652174,0.989010989010989
17,OS-4,1.0,0.88,0.9361702127659575
18,OS-5,1.0,1.0,1.0
19,OS-6,0.9880952380952381,0.9325842696629213,0.9595375722543353
20,OS-7,0.95,0.8085106382978723,0.8735632183908046
21,OS-8,0.9444444444444444,0.7727272727272727,0.85
22,OS-9,1.0,1.0,1.0
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,1.0,0.9375,0.967741935483871
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.7727272727272727,0.32075471698113206,0.45333333333333337
33,OS-18B,0.8571428571428571,0.42857142857142855,0.5714285714285714
34,OS-19,0.8,0.8,0.8000000000000002
35,OS-20A,0.5714285714285714,0.6666666666666666,0.6153846153846153
36,OS-20B,1.0,0.4,0.5714285714285715
37,OS-21,0.9807692307692307,0.8095238095238095,0.8869565217391304
38,OS-22,0.8888888888888888,0.9411764705882353,0.9142857142857143
39,OS-23,1.0,0.2,0.33333333333333337
40,OS-24,0.96,0.9230769230769231,0.9411764705882353
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9473684210526315,0.9700598802395209,0.9585798816568046
45,OS-29,0.0,0.0,0.0
46,OS-30,0.9942196531791907,0.9717514124293786,0.9828571428571428
47,OS-31,None,None,None
48,OS-32,0.8095238095238095,1.0,0.8947368421052632
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,0.9830508474576272,0.5631067961165048,0.7160493827160493
53,II,1.0,0.6461538461538462,0.7850467289719627
54,III-bis,1.0,0.5,0.6666666666666666
55,IV,1.0,0.717948717948718,0.835820895522388
56,IV-bis,0.9411764705882353,0.8888888888888888,0.9142857142857143
57,V,1.0,0.5769230769230769,0.7317073170731707
58,VI,0.6875,0.8461538461538461,0.7586206896551724
59,VII,1.0,0.625,0.7692307692307693
60,VIII,1.0,0.47619047619047616,0.6451612903225806
