,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9964539007092199,0.9304635761589404,0.9623287671232877
1,OG-2,0.9714285714285714,0.9444444444444444,0.9577464788732395
2,OG-3,1.0,0.8135593220338984,0.897196261682243
3,OG-4,0.6666666666666666,1.0,0.8
4,OG-5,None,None,None
5,OG-6,1.0,0.6666666666666666,0.8
6,OG-7,None,None,None
7,OG-8,0.75,1.0,0.8571428571428571
8,OG-9,0.8421052631578947,1.0,0.9142857142857143
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9867256637168141,0.9570815450643777,0.971677559912854
11,OG-12,0.9459459459459459,0.875,0.9090909090909091
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,0.7333333333333333,0.7857142857142857,0.7586206896551724
14,OS-2A,0.75,0.625,0.6818181818181818
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9130434782608695,0.9545454545454545
17,OS-4,1.0,0.88,0.9361702127659575
18,OS-5,1.0,1.0,1.0
19,OS-6,0.9764705882352941,0.9325842696629213,0.9540229885057471
20,OS-7,0.9487179487179487,0.7872340425531915,0.8604651162790696
21,OS-8,0.9444444444444444,0.7727272727272727,0.85
22,OS-9,0.0,0.0,0.0
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,1.0,1.0,1.0
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.8,0.3018867924528302,0.4383561643835617
33,OS-18B,0.7142857142857143,0.35714285714285715,0.4761904761904762
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.5,0.6666666666666666,0.5714285714285715
36,OS-20B,0.0,0.0,0.0
37,OS-21,0.8548387096774194,0.8412698412698413,0.848
38,OS-22,0.9444444444444444,1.0,0.9714285714285714
39,OS-23,1.0,0.2,0.33333333333333337
40,OS-24,0.9795918367346939,0.9230769230769231,0.9504950495049506
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9759036144578314,0.9700598802395209,0.972972972972973
45,OS-29,0.0,0.0,0.0
46,OS-30,1.0,0.9661016949152542,0.9827586206896551
47,OS-31,None,None,None
48,OS-32,0.8947368421052632,1.0,0.9444444444444444
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,0.8,1.0,0.888888888888889
52,I,1.0,0.6019417475728155,0.7515151515151515
53,II,1.0,0.5846153846153846,0.7378640776699029
54,III-bis,0.9444444444444444,0.6071428571428571,0.7391304347826088
55,IV,1.0,0.7435897435897436,0.8529411764705882
56,IV-bis,1.0,0.9444444444444444,0.9714285714285714
57,V,0.8421052631578947,0.6153846153846154,0.7111111111111111
58,VI,0.8,0.9230769230769231,0.8571428571428571
59,VII,1.0,0.5,0.6666666666666666
60,VIII,1.0,0.6666666666666666,0.8
