,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9930313588850174,0.9437086092715232,0.967741935483871
1,OG-2,1.0,0.9722222222222222,0.9859154929577464
2,OG-3,1.0,0.8135593220338984,0.897196261682243
3,OG-4,1.0,0.5,0.6666666666666666
4,OG-5,None,None,None
5,OG-6,1.0,0.6666666666666666,0.8
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,1.0,1.0,1.0
9,OG-10,0.9,0.6923076923076923,0.7826086956521738
10,OG-11,0.9955357142857143,0.9570815450643777,0.975929978118162
11,OG-12,1.0,0.875,0.9333333333333333
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,1.0,0.9285714285714286,0.962962962962963
14,OS-2A,0.7727272727272727,0.7083333333333334,0.7391304347826088
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9782608695652174,0.989010989010989
17,OS-4,0.9583333333333334,0.92,0.9387755102040817
18,OS-5,1.0,1.0,1.0
19,OS-6,0.9651162790697675,0.9325842696629213,0.9485714285714285
20,OS-7,0.9512195121951219,0.8297872340425532,0.8863636363636364
21,OS-8,0.9444444444444444,0.7727272727272727,0.85
22,OS-9,1.0,1.0,1.0
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,1.0,1.0,1.0
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,1.0,0.5,0.6666666666666666
32,OS-18A,1.0,0.37735849056603776,0.5479452054794521
33,OS-18B,0.9230769230769231,0.8571428571428571,0.888888888888889
34,OS-19,0.8333333333333334,1.0,0.9090909090909091
35,OS-20A,0.6,1.0,0.7499999999999999
36,OS-20B,1.0,0.2,0.33333333333333337
37,OS-21,0.9298245614035088,0.8412698412698413,0.8833333333333334
38,OS-22,1.0,1.0,1.0
39,OS-23,1.0,0.8,0.888888888888889
40,OS-24,1.0,0.9230769230769231,0.9600000000000001
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9588235294117647,0.9760479041916168,0.967359050445104
45,OS-29,1.0,1.0,1.0
46,OS-30,0.9942196531791907,0.9717514124293786,0.9828571428571428
47,OS-31,None,None,None
48,OS-32,1.0,1.0,1.0
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,1.0,0.5145631067961165,0.6794871794871795
53,II,1.0,0.6153846153846154,0.761904761904762
54,III-bis,1.0,0.5,0.6666666666666666
55,IV,1.0,0.5384615384615384,0.7000000000000001
56,IV-bis,1.0,0.8333333333333334,0.9090909090909091
57,V,1.0,0.5769230769230769,0.7317073170731707
58,VI,0.6666666666666666,0.7692307692307693,0.7142857142857142
59,VII,1.0,0.375,0.5454545454545454
60,VIII,1.0,0.42857142857142855,0.6
