,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9929824561403509,0.9370860927152318,0.9642248722316865
1,OG-2,1.0,0.9722222222222222,0.9859154929577464
2,OG-3,1.0,0.7966101694915254,0.8867924528301886
3,OG-4,1.0,0.5,0.6666666666666666
4,OG-5,None,None,None
5,OG-6,1.0,0.6666666666666666,0.8
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,1.0,0.9375,0.967741935483871
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9736842105263158,0.9527896995708155,0.9631236442516269
11,OG-12,1.0,0.85,0.9189189189189189
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,0.9230769230769231,0.8571428571428571,0.888888888888889
14,OS-2A,0.7391304347826086,0.7083333333333334,0.723404255319149
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9782608695652174,0.989010989010989
17,OS-4,0.9583333333333334,0.92,0.9387755102040817
18,OS-5,1.0,1.0,1.0
19,OS-6,0.9651162790697675,0.9325842696629213,0.9485714285714285
20,OS-7,0.95,0.8085106382978723,0.8735632183908046
21,OS-8,0.9444444444444444,0.7727272727272727,0.85
22,OS-9,0.5,1.0,0.6666666666666666
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,0.9411764705882353,1.0,0.9696969696969697
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.7666666666666667,0.4339622641509434,0.5542168674698795
33,OS-18B,0.8666666666666667,0.9285714285714286,0.896551724137931
34,OS-19,1.0,1.0,1.0
35,OS-20A,0.6666666666666666,1.0,0.8
36,OS-20B,1.0,0.4,0.5714285714285715
37,OS-21,1.0,0.7936507936507936,0.8849557522123894
38,OS-22,0.8947368421052632,1.0,0.9444444444444444
39,OS-23,1.0,0.8,0.888888888888889
40,OS-24,0.9795918367346939,0.9230769230769231,0.9504950495049506
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.9818181818181818,0.9700598802395209,0.9759036144578314
45,OS-29,1.0,1.0,1.0
46,OS-30,0.9942196531791907,0.9717514124293786,0.9828571428571428
47,OS-31,None,None,None
48,OS-32,0.8095238095238095,1.0,0.8947368421052632
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,1.0,0.5048543689320388,0.6709677419354839
53,II,1.0,0.6,0.7499999999999999
54,III-bis,1.0,0.39285714285714285,0.5641025641025641
55,IV,0.9642857142857143,0.6923076923076923,0.8059701492537313
56,IV-bis,1.0,0.8333333333333334,0.9090909090909091
57,V,1.0,0.5769230769230769,0.7317073170731707
58,VI,0.5625,0.6923076923076923,0.6206896551724138
59,VII,1.0,0.5,0.6666666666666666
60,VIII,1.0,0.7142857142857143,0.8333333333333333
