,Labels,Colonna 1,colonna 2,colonna 3
0,I,1.0,0.33980582524271846,0.5072463768115942
1,VI,1.0,0.46153846153846156,0.631578947368421
2,VII,1.0,0.625,0.7692307692307693
3,II,1.0,0.4307692307692308,0.6021505376344086
4,III-bis,1.0,0.42857142857142855,0.6
5,V,0.9333333333333333,0.5384615384615384,0.6829268292682926
6,IV,0.9,0.46153846153846156,0.6101694915254238
7,VIII,1.0,0.38095238095238093,0.5517241379310345
8,IV-bis,0.9285714285714286,0.7222222222222222,0.8125000000000001
